publishedAt,authorDisplayName,textDisplay,likeCount
2023-05-07T03:20:51Z,anjrit Lah,"Sumpah saya ga percaya survey 100 persen,,semua yg ada di yotub,,bisa femanipulasi,,co,,rkya sudah pada pintar sekarang,,percuma di acrakn di tipi klw saya asli ga percaya surfey",0
2023-05-07T03:18:52Z,Rio Rio,Wkwkwk masih percaya entee sama survei surveii?? Hahahhaha,0
2023-05-07T02:57:29Z,Muklas kartono,Sebaiknya Ganjar Prabowo gabung klo Prabowo kekeh RI 1 perkiraan saya Prabowo kalah lagi,0
2023-05-07T02:57:09Z,Siswanto,GANJAR ❤,0
2023-05-07T02:55:55Z,Eliandi Tjung,GANJAR PRANOWO RI 1👍👍👍👍,0
2023-05-07T02:55:37Z,ngaji ndeso,Tapi ganjar nesti kalam lawan anis.dalam final karena akan di kerubut.,0
2023-05-07T02:43:10Z,Edi Sutoko,Ganjar bossss,0
2023-05-07T02:27:13Z,satrio paningit ragiel gowor. Am,bismillah pak ganjar penerus pak jokowi amin pengalaman memimpin jujur kerja nyata fakta bukan kata kata,0
2023-05-07T02:19:42Z,ASAL NGOMONG,"DUKUNG GANJAR 👍🏽👍🏽👍🏽<br>MASA KITA MAU DUKUNG ANIES ??? Juga PRABOWO <br><br>MAU TAHU TTG ANIES ??<br>LIHAT SAJA SPT APA YG DIKERJAKAN  GUBERNUR LAMPUNG SAMA2  JD GUBERNUR  TAPI KERJAAN NYA TIDUR2 SAJA  DIATAS DANA APBD  YG DI KUASAI ...<br>HANYA BEDANYA DANA APBD YG ANIES KUASAI ITU LBH GEDE DR DANA GUB LAMPUNG ...<br>UENAK TENAN JD ANIES : DANA 86 TRILIUN/ THN  X 5 THN..HANYA BUAT PATUNG2 / TUGU2 SEPATU , TUGU PETI MATI , REVISI TROTOAR  DI SUDIRMAN DAN SKITARNYA , REVISI JEMBATAN DI DAERAH SUDIRMAN DAN SKITARNYA  , BUAT JIS YA HANYA 1 TRILIUN SAJA , FORMULA E YG TDK MENGUNTUNG KAN  ,  DP O% YG TDK UTK RAKYAT MISKIN ( mana ada rakyat miskin punya gaji 14 juta/ bln , syarat bs beli rusunawa ?? )    , NATURALISASI TDK DI KERJAKAN  alias : 0% , PENDAPATAN 15% SEHARUS NYA DI TERIMA DKI  UTK PENJUALAN REKLAMASI DI HILANGKAN SUMBER DANA TSB , GANTI NAMA JLN N RUMAH SAKIT....ITU SAJA YG DI KERJAKAN, SOAL BANJIR N MACET...NGUMPET DIA<br><br>SDNG KAN MILIH PRABOWO : <br>KATA AHMAD RIZA PATRIA YG MEWAKILI GERINDRA  BERUCAP : <br>RAKYAT INDONESIA HRS DIPIMPIN OLEH MILITER +  BERHUBUNG SKRG NEGARA2 ASING SDH SALING BERPERANG , MAKA MRK MEMPERSIAP KAN NKRI UNTUK IKUT SERTA  BER PERANG JUGA.<br>NAH TERNYATA GERINDRA TDK PUNYA NIAT N AKAL CERDAS JADI PEMIMPIN YG MAMPU IKUT SERTA  MENDAMAIKAN DUNIA...NGERI BUKAN RAKYAT DI KUASAI MILITER + RAKYAT INDONESIA DI KORBANKAN UTK MENGHADAPI PERANG DUNIA KE 3;.<br>GERINDRA SENDIRI  SALAH MENGERTI TTG TUGAS2 SUCI  MILITER  SEBETULNYA UTK MENGAMAN KAN RAKYAT N NEGARA N TURUT SERTA MENDAMAIKAN DUNIA, WAH MASA DEPAN NEGARA INI SUASANA NYA AKAN  TERCEKAM  N DI TAKUT2 I TERUS KLO BEGITU<br>Dan MASA LALU PRABOWO ADALAH TURUT MENGHILANG KAN PARA AKTIVIS 98 YG SAMPAI SKRG TDK TAHU KEBERADAAN KUBURAN MRK....itulah REKAM JEJAK MASA LALU PRABOWO....<br>MAU INDONESIA KAYA MYAMAR ????<br><br>DAN dari  kelompok Anies n Prabowo  TERNYATA  KELOMPOK INI ADALAH KELOMPOK GOLKAR yg di pecah dgn Nama2 Partai Nasdem , Partai Gerindra , Partai Demokrat dll....<br>JD SBETULNYA YG BERTARUNG INI ADALAH : <br>PDI P YG NASIONALIS , YG INGIN NKRI INI MAJU N MAKMUR VS GOLKAR  YG REKAM JEJAK NYA HANYA CINTA TAHTA N  HARTA NKRI.",0
2023-05-07T01:54:12Z,Biyono,"RAKYAT NGGAK BUTUH SRVEY,RAKYAT HANYA PAK ANIS LAINNYA NGGAK SUNIK",0
